skeptical, adj. 怀疑的
sensitivity," n. 敏感, 多愁善感, 感受性"
instinctive," adj. 本能的, 天性的，直觉的"
airborne," adj. 空运的, 空中传播的,空降的"
sermon," n. 布道,说教"
vista," n. 街景, 展望, 回想"
salvage," n. 救捞(抢修,废物利用,废弃品,救难费)
vt 救捞(抢修,废物利用)"
algal, adj. 海藻的
sanitation," n. 环境卫生(卫生设备, 下水道设备)"
carcinogen, n. 致癌物
denounce," v. 告发, 公然抨击"
intrepid," adj. 无畏的, 刚毅的"
vocational, adj. 职业的
expend," v. 花费,消耗,支出"
idealistic, adj. 理想主义的
electoral, adj. 选举的，选举人的
reminder," n. 提醒的人,催函"
explanatory," adj. 说明的, 解释的"
disrepute," n. 声誉坏,坏批评,不名誉"
benefactor," n. 恩人, 捐助者, 赠送者"
admonish," vt. 劝告, 训诫, 告诫，提醒，敦促"
secrete," v. 隐秘, 隐藏, 隐匿
v. 分泌"
discreet, adj. 谨慎的
unavoidable, adj. 不可避免的
texture, n. 质地；纹理；结构；本质，实质
disagreement," n. 不合, 争论, 不一致"
submission," n. 服从,柔和,提交"
forethought," n. 考虑将来，预谋，先见
adj.<古>蓄意的"
dismay," n. 沮丧, 绝望
vt. 使...灰心,使...惊愕"
manumit, vt. 解放(奴隶)
allegiance, n. 忠诚
defenseless, adj. 无防备的
sodium, n. 钠
sedimentary," adj. 沉淀（性）的
名词sediment的形容词"
fascinating, adj. 迷人的
distract," vt. 转移,分心"
stoppage, n. 停止，堵塞，停工
unwarranted, adj. 无根据的，未经授权的，无保证的
superimpose," vt. 重叠(安装,添加)"
magnitude, n.巨大，广大； 重大，重要； 量级； （地震）级数
politically, adv. 政治上地
stagger," n. 蹒跚,踌躇,摇摆不定
vi. 蹒跚,犹豫,动摇
vt. 使摇晃,使吃惊,使犹豫
vt. 使交错,错开时间"
profligacy," n. 放荡, 不检点, 浪费"
digestible," adj. 易消化的, 可吸收的，较易理解的"
atmosphere," n. 大气, 气氛，空气, 格调, 情趣, 气压"
delicacy," n. 柔软, 精致, 佳肴"
nomenclature," n. 命名法, 专门语, 术语"
economics, n. 经济学
lurid, adj. 可怕的，骇人听闻的，苍白的，耀眼的
antithesis," n. 对照, 正相反, 对比法"
appraise," vt. 评价,估价,鉴定"
suture," n. 缝合, 缝合处, 缝合用的线
vt. 缝合"
linguistics, n. 语言学
hegemony," n. 霸权,领导权"
acerbic, adj. 酸的(尖酸刻薄的)
augment," vt. 增加,补充
vi.扩大
n. 增加,补充物"
specificity, n. 特性，特征，特效，特殊性，专一性
adoption," n. 采用, 采纳, 收养"
outcropping," 露出
出露地表"
ascetic," adj. 禁欲的
n. 苦行者"
specter," n. 幽灵, 妖怪, 恐怖的根源
=spectre(美）"
enrich," vt. 使富足,使肥沃，添加元素"
brutal," adj. 野蛮的,残暴的"
pancreas, n. 胰腺
stature," n. 身材, 身高"
mobilize," v. 动员,赋予可动性, 使流通
v. 动员"
suppress," vt. 镇压,使...止住,禁止"
intermingle," v. 混合, 搀杂"
excel," vt. 超过, 优于
vi. 胜出
[计算机] 软件名称"
escalate," vt. 扩大,升高,增强
vi. 逐步升级"
extinct," adj. 灭绝的,熄灭的
n. 消灭,熄灭"
mortgage," vt. 抵押
n. 抵押；房屋抵押贷款"
gentility," n. 有教养, 文雅，出身高贵"
appreciation," n. 赏识, 鉴识, 感激"
flora," n. 植物, 群落
（大写）Flora：[罗神]花神弗洛拉，弗洛拉（女名）"
outstrip," v. 超过,跑过
vt. 胜过,超过"
monomania, n. 对一事的狂热，[医]偏执狂
lyric," adj. 抒情的
n. 抒情诗"
disparate," adj. 不同的, 全异的, 乖离的"
norm," n. 标准,规范"
conscientious," adj. 审慎正直的,认真的,本着良心的"
thereafter," adv. 其后, 从那时以后"
excitation," n. 刺激, 激动, 激发"
dissent," n. 异议
v. 持异议"
provincial," n. 乡下人, 地方人民
adj. 省的, 地方的, 偏狭的"
tighten," vt. 勒紧, 固定
vi. 变得越来越紧"
adrenergic, adj. 肾上腺素的，释放肾上腺素的
nurture," n. 养育, 照顾, 教育, 滋养, 营养品
vt. 养育, 给与营养物, 教养, 扶持"
theology, n. 神学
oblique," adj. 间接的,斜的，拐弯抹角的，不光明正大的
n. 倾斜物
[解]斜肌
v. 倾斜"
tarnish," n. 晦暗, 生锈, 污点
v. 使生锈, 沾污"
goddess, n. 女神，受崇拜的女性
asymmetry, n. 不对称
incompetent," adj. 无能力的, 无力的, 不适当的
n. 无能力者"
fluctuation," n. 波动,起伏"
meaningless, adj. 无意义的
temporal," adj. 当时的,暂时的,现世的
n. 世间的事物"
homestead," n. 家园, 田产"
incomprehensible," adj. 不能理解, 费解的"
apportionment," n. 分配, 分摊, 分派"
adjunct," n. 附属物, 附件, 修饰语"
tropic," n. 回归线,热带
adj. 热带的,向性的"
commiseration," n. 怜悯, 同情, 追悼辞"
sighting," n. 看见
动词sight的现在分词形式"
reaffirm," vt. 重申, 再肯定"
compulsion," n. 强迫, 强制，难以抗拒的冲动"
informal," adj. 非正式的,不拘形式的"
amusement," n. 娱乐, 消遣"
inelegant, adj. 不优美的，不风雅的，粗野的
override," vt. 弃绝,渺视,凌驾,过度负重
n. 给代理人的佣金,滥用
[计算机] 废除"
kaleidoscope, n. 万花筒，千变万化
abandonment," n. 放弃, 自暴自弃, 放纵"
tranquility, n. 宁静，平静，稳定
partisan," adj. 效忠的, 献身的, 盲目推崇的，党派性的
n. 党羽, 同党的人, 游击队员"
untouched," adj. 未触及的, 未受影响的，未开发的"
generalization," n. 一般化, 普遍化, 概括，泛论"
influx," n. 流入, 河口, 辐辏
涌进; 汇集[C][S1]
an influx of customers
顾客的蜂拥而来"
forthright,"n. adv. 直接地,马上,立即
adj. 直接的,直率的,坦白的
n. 直路"
traveler," n. 旅行者(移式起重机, 导丝钩, 临时记帐单)"
grandchild, n. 孙
meditative," adj. 默想的,耽于默想的,默想性的"
virtuosity," n. 精湛技巧, 高超，对艺术品的欣赏或爱好"
captious, adj. 吹毛求疵的，强词夺理的
landmass, n. 大陆
expedient," n. 权宜之计,临时手段
adj. 权宜的,方便的,有用的"
informality, n. 非正式，不拘礼节
legume," n. 豆类, 豆荚"
unfettered," adj. 被除去脚镣的, 无拘无束的
动词unfetter的过去式和过去分词"
gainsay, v. 否认
pedagogical, adj. 教学(法)的
medication," n. 药物治疗, 药物处理, 医药"
humankind, n. (总称)人类
disbelieve," v. 不信, 怀疑"
cryogenic, adj. 低温的，冷冻的
genetic," adj. 基因的, 遗传的, 起源的"
impulsive," adj. 冲动的, 受感情驱使的, 任性的"
recruitment," n. 征募新兵, 补充"
imaginative, adj. 富于想象力的
creativity," n. 创造力, 创造"
undeniable, adj. 不可否认的，无可辩驳的
grandiose," adj. 宏伟的, 堂皇的, 浮夸的"
haughty, adj. 傲慢的
focal, adj. 焦点的
prevalent," adj. 流行的, 普遍的"
facial," adj. 面部的
n. 面部护理"
reptile," adj. 爬虫类的
n. 爬行动物"
misguided," adj. 搞错的, 被误导的，举措失当的
动词misguide的过去式和过去分词"
dissuade, vt. 劝阻
ascertain," vt. 确定,探知,查明"
intelligible," adj. 可理解的, 易理解的, 明了的"
dominance," n. 支配(控制, 统治, 权威, 优势)"
receptive, adj.  接收能力强的，愿意接受的，感官的
fertilize, vt.使肥沃； 使受孕； 施肥
climax," n.顶点，极点； 高潮； 层进法； [生物学]顶极群落
vt.& vi.达到顶点； 达到巅峰； 使达到高潮； 使达到性高潮"
prototype," n. 原型,雏形"
provocation," n. 激怒, 刺激, 挑拨，挑衅的事物，激怒的原因"
liberalism," n. 自由主义, 开明的思想
Liberalism: 自由主义神学，自由党的政策和原则"
nonverbal," adj. 不用动词的, 不用语言的"
aerobe, n. [微]需氧菌
estranged," adj. 疏远的, 隔离的
动词estrange的过去式和过去分词形式"
burdensome," adj. 负担的, 恼人的, 艰难的"
colonial," adj. 殖民地的
n. 殖民地居民"
pessimism," n. 悲观, 悲观主义"
intestinal, adj. 肠的
intolerant, adj. 不能容忍的(偏执的)
radiant," adj. 发光的, 明亮的, 辐射的"
transcription," n. 抄写，誊写，录音，编曲
[生]转移"
disruption," n. 分裂, 毁坏"
triphosphate, n. 三磷酸盐
quixotic," adj. 唐吉诃德式的, 狂想家的"
immerse," vt. 浸,陷入"
entrepreneur, n. 企业家
gull," n. 鸥
n. 易受骗之人
vt. 诈欺, 骗"
scanner," n. 扫描机, 扫描仪"
dissipation, n. 浪费；消散；[物] 损耗
brilliance," n. (色彩)鲜明, 光辉, 辉煌"
recompense," vt. 报偿, 赔偿, 报酬
n. 报偿, 回礼, 赔偿"
personalize, vt. 个人化，拟人化
mutation," n. 变化, 转变, 母音变化"
compositional, adj. 合成的，组成的
impending," adj. 逼迫的, 迫切的, 即将发生的
动词impend的现在分词"
redress," n. 赔偿, 救济, 矫正
v. 纠正, 匡正, 革除"
regenerative, adj. 再生的，更新的，倾向于再生的
geophysicist, n. 地球物理学者
creed," n. 信条, 教义"
unwittingly," adv. 不知不觉地, 无意地"
consolidate," v. 巩固,联合,统一
[计算机] 使固定"
adrenaline, 肾上腺素
variability," n. 易变, 变化性, 变异性"
inconspicuous," adj. 不显眼的, 难以觉察的"
slaughter," n. 残杀, 屠杀, 大量杀戮
v. 残杀, 屠杀"
incisive," adj. 敏锐的,机敏的,激烈的"
repercussion," n. 弹回, 反响, 反射"
inflation," n. 膨胀,通货膨胀"
adrenal," adj. 肾上腺的
n. 肾上腺"
crab," n. 蟹
v. 捕蟹，使横行
n. 爱争吵的人
n. [植]山楂子
v. 批评，抱怨"
apparition," n. 鬼, 幽灵, 幻影"
tension," n. 紧张,张力,拉力
vt. （使金属线、帆等）拉紧"
decry," v. 责难, 诽谤"
cadaver, n. 尸体
replicable, adj. 可复制的，能复现的
totally, adv. 完全
pervasive," adj. 普遍的,蔓延的,渗透的"
delineate," v. 描画
vt. 描绘"
intake," n. 引入口, 入口, 通风口"
campesino," n. 农夫, 农场工作人员"
debunk," vt. 揭穿真相, 暴露"
recollection," n. 记忆, 回想, 回忆"
pointless," adj. 不尖的, 钝的, 不得要领的"
institutional, adj. 制度上的，惯例的，机构的
rupture," n. 破裂, 断裂
v. 使破裂"
candor," n. 坦白, 直率"
stipulation," n. 约定, 契约，条款"
decomposition," n. 分解,腐败,变质"
abet," v. 煽动, 教唆, 教唆某人犯罪"
totalitarianism, n. 极权主义
differentiation," n. 区别,分化,变异"
abstruse, adj. 深奥的
volcanic, adj. 火山的，猛烈的
musculature," n. 肌肉系统, 肌肉组织"
questionable," adj. 可疑的, 可置疑的"
misapprehension, n. 误解
stratosphere," n. [气]同温层, 最上层, 最高阶段"
scrutiny, n. 详细审查；监视；细看；选票复查
customary," adj. 习惯的, 惯例的"
holistic," adj. 整体的, 全盘的"
demonstrable, adj. 可论证的，明显的或显而易见的
meteorite," n. 陨石, 陨星"
typically," adv. 代表性地, 作为特色地"
affluent," adj. 富裕的
n. 支流；富人"
reef," n. 暗礁, 收缩帆部份"
displace," v. 移置, 替换"
kink," n. 纽结，蜷缩，怪癖
v.打结，绞缠"
laud," n. 颂歌,赞美
v. 称赞
vt. 赞美"
equally," adv. 相等地, 同样地, 平等地"
hatred," n. 憎恶,憎恨,怨恨"
presynaptic, adj. [解]位于突触前的
literacy, n. 读写能力，识字
ostentation, n.  卖弄，夸耀，摆阔，讲排场
algae," n. 水藻, 海藻"
subatomic," adj. 亚原子的，次原子的, 原子内的, 比原子更小的"
supplementary," adj. 补充的, 附加的"
efficacy," n. 功效,效力,（疗法、药物的）疗效"
craven," adj. 懦弱的, 畏缩的
n. 懦夫"
prestigious," adj. 享有声望的, 声望很高的"
chef," n. 厨师,主厨"
coral," adj. 珊瑚(色)的
n. 珊瑚"
verifiable," adj. 能作证的, 能证实的"
analyze," v. 分析,分解
vt. 分析"
uprising," n. 起义, 升起
动词uprise的现在分词"
morphology, n. 形态学，语形论，形态论
tussle," n. 扭打, 斗争, 论争
vi. 扭打, 打斗"
stray," n. 走失的家畜,浪子
adj. 迷途的,偶然的
vi. 迷路,彷徨"
reparation," n. 补偿, 赔偿"
membership," n. 成员资格,会员全体，从属关系"
idiosyncrasy, n. 特质
rearrange," 重新整理, 重新排序"
chronological, adj. 按时间顺序的
duality, n. 两重性，二元性
evenhanded," adj. 公平的,公平无私的"
sporadic," adj. 不定时发生的, 零星的"
sportsmanship, n. 体育精神，运动员精神
weakly," adv. 无力地, 虚弱地"
profanity," n. 沾污神圣不敬,亵渎,该受惩罚的言语"
lifeboat, n. 救生船
eternal," adj. 永久的,永恒的
n. 永恒的事"
senseless," adj. 无感觉的, 无意识的, 不省人事的"
rebuke," v. 斥责, 指责，阻止
n. 指责, 谴责, 非难"
satisfaction," n. 赔偿,满意,妥善处理,乐事,确信"
authentic," adj. 可靠的,可信的,真的,真正的"
alienation," n. 疏远,离间,让渡,[哲]异化"
surrealism, n. 超现实主义
evoke," vt. 唤起,引起"
subservient," adj. 卑屈的, 奉承的，次要的, 从属的"
remuneration," n. 报酬,赔偿,补偿"
flashback," n. 闪回，(电影等)倒叙, 插叙
n. 迷幻药效幻觉重现"
symbolism," n. 象征主义, 象征, 符号化"
pluvial," adj. 多雨的(洪积的, 由于雨水作用而成的)"
contrive, vt. 1. (不顾困难地)促成某事2. 巧妙地策划；精巧地制造（如机器） vi. 1. (不顾困难而) 设法做到(正式)
theft, n. 偷窃
complacent," adj. 满足的, 自满的, 得意的"
madden," v. 使发狂, 激怒, 发怒"
foreknowledge," n. 预知, 先见之明"
seeker," n. 搜索者, 探求者"
salon, n. 客厅，沙龙，美术展览馆
silica, n. 硅石，矽土
bypass," vt. 绕开, 忽视
n. 支路，旁道"
luminary," n. 杰出人物, 名人，发光体
adj. 杰出的"
defer," vt. 延期, 缓召, 把...委托给他人
vi. 耽搁, 延误, 遵从"
tile," n. 砖瓦
vt. 铺以瓦,铺以瓷砖"
collusion," n. 共谋, 勾结"
impart," vt. 传授, 赋予, 告知"
modal, adj. 模态的
ethanol, n. 乙醇
clannish," adj. 排他的, 门户之见的"
demon," n. 魔鬼,邪恶,狂热者"
collector," n. 收集家, 收税员"
dislodge," vt. 逐出, 用力移出
vi. 移走，离开"
disinterest," n. 无兴趣, 不关心
vt. 使不关心, 使失去兴趣"
adaptive," adj. 适合的,适应的,能适应的"
malicious," adj. 怀恶意的, 恶毒的"
harmless," adj. 无害的, 无恶意的"
folly," n. 愚蠢, 荒唐事
(复)follies: 轻松歌舞剧"
unjustifiable," adj. 不合道理的, 不能认为是正当的, 不能分辩的"
mantle," n. 斗篷, 覆罩之物, 罩子
v. 罩住, 覆盖, 脸红"
investor, n. 投资者
colonialist," n. 殖民主义者
adj. 殖民主义者的"
eloquent," adj. 雄辩的, 有口才的, 动人的"
tyranny, n. 暴政，苛政，专制
privileged, adj.享有特权的；特许的，专用的；秘密的，保密的；幸运的，荣幸的
toll," n. 通行费,代价,伤亡人数,钟声
vi. 征收通行税,鸣钟
vt. 向某人征税,钟响,引诱"
proliferation," n. 增殖,分芽繁殖"
unemployment," n. 失业,失业人数"
middling," adj. 中等的, 普通的, 二流的
n. 中级品
middlings: （单复同）粗面粉"
condescension," n. 自以为高人一等, 贬低(别人)，屈尊俯就"
unreasonable," adj. 不合理的, 过度的, 不切实际的"
interpersonal," adj. 人与人之间的,人际关系的"
efficacious," adj. 有效的, 灵验的"
complacency, n. 自满，沾沾自喜
counterpoint," n. 对位法, 旋律配合, 重复旋律"
coworker, n. 合作者
equable," adj. 平静的, 变动小的"
urgency, n. 紧急(的事)
congruity," n. 适合, 一致, 调和"
